,System Pout Consumption Energy [kWh],System Pout AC-coupling Energy [kWh],System Pin Consumption Energy [kWh],System Pin Injection Energy [kWh],System Batt Charge Energy [kWh],System Batt Discharge Energy [kWh],Solar Power Energy [kWh]
2018-01-26,3.9516666666665374,0.0,0.0,0.0,1.2261697116666668,-2.743045218333334,2.497666666666667
2018-01-27,3.926833333333256,0.0,0.0,0.0,6.373625360000005,-2.618669591666668,7.932666666666658
2018-01-28,3.8451666666665973,0.0,0.0,0.0,4.646034586666663,-2.5764271233333336,6.162499999999991
2018-01-29,3.86399999999993,0.0,0.0,0.0,3.8960505749999967,-2.588641654999996,5.385999999999993
2018-01-30,3.8631666666666,0.0,0.0,0.0,3.537302166666667,-2.561570669999997,5.049166666666646
2018-01-31,3.8426666666665974,0.0,0.0,0.0,3.341421326666666,-2.5781825516666688,4.813999999999974
2018-02-01,3.83999999999993,0.0,0.0,0.0,1.9780206383333334,-2.871973098333329,3.1196666666666673
2018-02-02,3.8441666666665983,0.0,0.0,0.0,3.9312227349999977,-2.6261690466666803,5.418166666666662
2018-02-03,3.8788333333332643,0.0,0.0,0.0,2.7101014533333316,-2.8685660583333457,3.882833333333339
2018-02-04,3.860999999999936,0.0,0.0,0.0,1.8353616550000007,-2.6023531300000013,3.2913333333333323
2018-02-05,3.944999999999868,0.0,0.0,0.0,3.245821449999999,-2.5595711033333406,4.763499999999994
2018-02-06,3.991833333333219,0.0,0.0,0.0,3.5505015583333326,-2.501546248333344,5.164500000000006
2018-02-07,3.9246666666666172,0.0,0.0,0.0,3.033683165000002,-2.521742141666674,4.623499999999975
2018-02-08,3.849333333333267,0.0,0.0,0.0,3.219165381666667,-2.507042958333331,4.776166666666659
2018-02-09,3.8494999999999346,0.0,0.0,0.0,3.1435207383333337,-2.522220845000007,4.698666666666659
2018-02-10,3.8683333333332643,0.0,0.0,0.0,2.9703139866666795,-2.485750878333332,4.560333333333316
2018-02-11,3.8666666666666027,0.0,0.0,0.0,1.8397899283333332,-2.76897339833334,3.095166666666663
2018-02-12,3.8426666666665947,0.0,0.0,0.0,1.6311250149999994,-2.5997590399999937,3.0430000000000015
2018-02-13,3.853499999999933,0.0,0.0,0.0,4.672059546666662,-2.4755986216666668,6.324166666666671
2018-02-14,3.8599999999999373,0.0,0.0,0.0,3.03343160500003,-2.460440138333335,4.64316666666665
